plot,logger,serial,start,end,pu1_P_RT_NRT,pu2_1,pu2_2,wxt_SWDR_300,wxt_SWUR_300,wxt_LWDR_300,wxt_LWUR_300,SERIAL_PYR01,SERIAL_PYR02,SERIAL_PAR01,SERIAL_PAR02,pu2_1_type,pu2_2_type
fpo2,rad,80081025292,2013-08-05,*,,,,,,,,,,12,,,
fpo2,rug,51021020202,2012-01-11,*,,,,,,,,,,,,,
fpo3,rug,51081020285,*,*,,,,,,,,,,,,,
fpo4,rug,51071120477,*,*,,,,,,,,,,,,,
fpo5,rug,51021020179,*,*,,,,,,,,,,,,,
gra0,rug,51021020181,2010-12-20,2010-12-31,,,,,,,,,,,,,
gra1,pu1,80081025284,*,*,0.201,,,,,,,,,,,,
gra1,rug,51021020181,2010-12-31,2012-08-06,,,,,,,,,,,,,
gra1,rug,51021020160,2012-08-07,2012-11-23,,,,,,,,,,,,,
gra1,wxt,80031130065,2012-10-25,*,,,,16,17.59,9.14,9.73,LWDR,LWUR,SWDR,SWUR,,
gra2,rug,51021020185,*,2012-10-01,,,,,,,,,,,,,
gra2,rug,80121421099,2015-04-08,*,,,,,,,,,,,,,
gra3,rug,51021020206,*,*,,,,,,,,,,,,,
gra4,rug,51021020182,2010-12-14,2011-02-25,,,,,,,,,,,,,
gra4,rug,51021020163,2011-02-21,2011-08-25,,,,,,,,,,,,,
gra4,rug,51021020220,2011-08-26,*,,,,,,,,,,,,,
gra5,pu1,80081025289,2014-04-15,2015-03-29,0.2,,,,,,,,,,,,
gra5,pu1,80021526456,2015-03-30,*,0.2,,,,,,,,,,,,
gra5,rug,51021020167,*,*,,,,,,,,,,,,,
gra6,rug,80121421095,2015-04-08,2015-05-21,,,,,,,,,,,,,
hel1,pu2,80081025294,2012-04-25,2012-10-20,,0.2,0.2,,,,,,,,,fog,rain
hel1,rug,80121421094,2015-05-26,*,,,,,,,,,,,,,
hel2,rug,51071120473,*,*,,,,,,,,,,,,,
hel3,rug,51021020222,*,2015-06-01,,,,,,,,,,,,,
hel3,rug,80121421100,2015-06-02,*,,,,,,,,,,,,,
hel4,rug,51021020223,2012-06-28,2012-12-11,,,,,,,,,,,,,
hel4,rug,51021020232,2012-12-12,*,,,,,,,,,,,,,
hel5,rug,51021020193,2012-03-06,2014-02-04,,,,,,,,,,,,,
hel5,rug,51111220729,2014-02-05,*,,,,,,,,,,,,,
hom1,rug,51021020193,*,2012-03-04,,,,,,,,,,,,,
hom1,rug,51021052,2011-10-19,2012-01-16,,,,,,,,,,,,,
hom1,rug,51021020227,2012-03-05,2013-11-25,,,,,,,,,,,,,
hom1,rug,51111220727,2013-11-26,*,,,,,,,,,,,,,
hom1,rug,80011521126,2015-04-30,*,,,,,,,,,,,,,
hom2,rug,51021020232,*,2012-08-19,,,,,,,,,,,,,
