plot,general,lat,lon,is_station,logger
MAFIKENG WO,SAWS,-25.8037,25.5428,Y,SAWS_logger
MAGALIESBURG POLICE ARS,SAWS,-25.998,27.5386,Y,SAWS_logger
MAKATINI RESEARCH CENTRE,SAWS,-27.3941,32.1769,Y,SAWS_logger
MAKHADO AIR FORCE BASE,SAWS,-23.1586,29.6943,Y,SAWS_logger
MALMESBURY,SAWS,-33.4725,18.7183,Y,SAWS_logger
MANDINI,SAWS,-29.15,31.4,Y,SAWS_logger
MANGONG ARS,SAWS,-24.9938,26.9898,Y,SAWS_logger
MARGATE,SAWS,-30.85,30.333,Y,SAWS_logger
MARICO,SAWS,-25.5,26.35,Y,SAWS_logger
MARKEN,SAWS,-23.6,28.383,Y,SAWS_logger
MARULENG-BOERSEUN BOERDERY ARS,SAWS,-24.0878,30.4058,Y,SAWS_logger
MATATIELE,SAWS,-30.34,28.8039,Y,SAWS_logger
MBAZWANA AIRFIELD,SAWS,-27.4772,32.5981,Y,SAWS_logger
MBUZINI MONUMENT ARS,SAWS,-25.9156,31.9558,Y,SAWS_logger
MIDDELBURG - TNK ARS,SAWS,-25.76,29.4614,Y,SAWS_logger
MITCHELLS PLAIN WOLFGAT ARS,SAWS,-34.061,18.594,Y,SAWS_logger
MODJADJI DAM ARS,SAWS,-23.5892,30.3525,Y,SAWS_logger
MOKOPANE,SAWS,-24.2056,29.0117,Y,SAWS_logger
MOLTENO RESERVOIR,SAWS,-33.9375,18.4108,Y,SAWS_logger
MONTAGU - BADEN ARS,SAWS,-33.709,20.124,Y,SAWS_logger
MOOI RIVER,SAWS,-29.2175,30.0025,Y,SAWS_logger
MOUNT EDGECOMBE,SAWS,-29.7,31.05,Y,SAWS_logger
MTUNZINI,SAWS,-28.95,31.7,Y,SAWS_logger
MTUNZINI ARS,SAWS,-28.9472,31.7078,Y,SAWS_logger
MUKUMBANI TEA ESTATE - VENDA,SAWS,-22.9167,30.4075,Y,SAWS_logger
Mababe,SASSCAL_botswana,-19.018,23.96669,Y,SASSCAL_logger
Mahalapye,SASSCAL_botswana,-23.112528,26.859222,Y,SASSCAL_logger
Mahenene,SASSCAL_namibia,-17.44433333,14.78480556,Y,SASSCAL_logger
Mannheim,SASSCAL_namibia,-19.16861111,17.76305556,Y,SASSCAL_logger
Marble Koppie,SASSCAL_namibia,-22.96948104,14.98967998,Y,SASSCAL_logger
Marienflusstal,SASSCAL_namibia,-17.602974,12.602886,Y,SASSCAL_logger
Mashare,SASSCAL_namibia,-17.8946,20.2085,Y,SASSCAL_logger
Muconda,SASSCAL_angola,-10.58769,21.31772,Y,SASSCAL_logger
Mukongo,SASSCAL_angola,-14.749,12.505,Y,SASSCAL_logger
Mwinilunga,SASSCAL_zambia,-11.73998,24.431,Y,SASSCAL_logger
NAGLE DAM ARS,SAWS,-29.5919,30.6228,Y,SAWS_logger
NELSPRUIT,SAWS,-25.5,30.9166,Y,SAWS_logger
NEWCASTLE,SAWS,-27.7689,29.9767,Y,SAWS_logger
NGQURA (COEGA),SAWS,-33.7966,25.6753,Y,SAWS_logger
NIEUWOUDTVILLE,SAWS,-31.378,19.122,Y,SAWS_logger
NOOITGEDACHT DAM - IRR ARS,SAWS,-25.9558,30.0833,Y,SAWS_logger
Namibe,SASSCAL_angola,-15.159,12.178,Y,SASSCAL_logger
Narais - Duruchaus,SASSCAL_namibia,-23.1301,16.8849,Y,SASSCAL_logger
Nation. Forestry Research Centre (NFRC),SASSCAL,,,Y,SASSCAL_logger
Ngoma,SASSCAL_namibia,-17.8995,24.707944,Y,SASSCAL_logger
Ngwatle,SASSCAL_botswana,-23.71239,21.07972,Y,SASSCAL_logger
Nico,SASSCAL_namibia,-25.31275,17.834583,Y,SASSCAL_logger
Numees,SASSCAL_south_africa,-28.314259,16.965849,Y,SASSCAL_logger
OLIFANTS CAMP ARS,SAWS,-24.0047,31.7399,Y,SAWS_logger
ORIBI AIRPORT,SAWS,-29.65,30.4,Y,SAWS_logger
OUDESTAD,SAWS,-25.18,29.33,Y,SAWS_logger
Ogongo,SASSCAL_namibia,-17.678528,15.294806,Y,SASSCAL_logger
Okahandja (NRFC),SASSCAL,,,Y,SASSCAL_logger
Okamboro,SASSCAL_namibia,-22.009494,17.041386,Y,SASSCAL_logger
Okangwati,SASSCAL_namibia,-17.43025,13.2781,Y,SASSCAL_logger
Okapya,SASSCAL_namibia,-18.4725,17.33908333,Y,SASSCAL_logger
Okashana,SASSCAL_namibia,-18.41111111,16.63852778,Y,SASSCAL_logger
Okomumbonde,SASSCAL_namibia,-20.48327,17.343167,Y,SASSCAL_logger
Omatako Ranch,SASSCAL_namibia,-21.5094,16.7291,Y,SASSCAL_logger
Omatjenne,SASSCAL_namibia,-20.44277778,16.49333333,Y,SASSCAL_logger
Oshaambelo,SASSCAL_namibia,-17.84286111,14.77008333,Y,SASSCAL_logger
PAARL,SAWS,-33.7217,18.9719,Y,SAWS_logger
PADDOCK,SAWS,-30.7544,30.2578,Y,SAWS_logger
PATENSIE,SAWS,-33.7653,24.8233,Y,SAWS_logger
PENNINGTON SOUTH,SAWS,-30.3997,30.6858,Y,SAWS_logger
PHALABORWA - GRIETJIE ARS,SAWS,-24.0986,30.9869,Y,SAWS_logger
PHALABORWA AIRPORT AWS,SAWS,-23.9361,31.1547,Y,SAWS_logger
PHELINDABA ARS,SAWS,-25.795,27.9197,Y,SAWS_logger
PHITSHANE ARS,SAWS,-25.7487,25.0983,Y,SAWS_logger
PIETERMARITZBURG,SAWS,-29.633,30.4,Y,SAWS_logger
PIETERMARITZBURG - DARVILLE ARS,SAWS,-29.6,30.43,Y,SAWS_logger
POLOKWANE WO,SAWS,-23.8576,29.4517,Y,SAWS_logger
PONGOLA,SAWS,-27.4139,31.5917,Y,SAWS_logger
PORT EDWARD,SAWS,-31.067,30.233,Y,SAWS_logger
PORT ELIZABETH - COEGA RIVER LOWER ARS,SAWS,-33.7165,25.4864,Y,SAWS_logger
PORT ELIZABETH - COEGA RIVER UPPER ARS,SAWS,-33.6663,25.4672,Y,SAWS_logger
PORT ELIZABETH - FETTES ROAD,SAWS,-33.9425,25.6023,Y,SAWS_logger
PORT ELIZABETH - MOTHERWELL,SAWS,-33.8032,25.6209,Y,SAWS_logger
PORT ELIZABETH - RIVERSTONE BRIDGE ARS,SAWS,-33.949,25.4906,Y,SAWS_logger
PORT ELIZABETH - SHARK ROCK PIER,SAWS,-33.9796,25.6598,Y,SAWS_logger
